"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,0,0,0,0,0,0,0,20260917,20261212
2,1,1,1,1,1,0,0,20260917,20261212
3,0,1,0,1,1,0,0,20260917,20261212
4,1,0,1,0,1,0,0,20260917,20261212
5,0,0,0,0,1,0,0,20260917,20261212
6,0,0,0,0,0,0,0,20260917,20261212
7,0,0,0,0,0,1,0,20260917,20261212
8,0,0,0,0,0,0,0,20260917,20261212
9,0,0,0,0,0,0,0,20260917,20261212
10,0,0,0,0,0,0,0,20260917,20261212
11,1,1,1,1,1,1,1,20260917,20261212
12,1,1,1,1,1,0,0,20260917,20261212
13,0,0,0,0,0,1,1,20260917,20261212
14,0,0,0,0,0,1,0,20260917,20261212
15,0,0,0,0,0,0,1,20260917,20261212
16,1,1,1,1,1,1,0,20260917,20261212
17,0,0,0,0,0,0,0,20260917,20261212
18,0,0,0,0,0,0,0,20260917,20261212
19,0,0,0,0,0,0,0,20260917,20261212
20,0,0,0,0,0,0,0,20260917,20261212
21,0,0,0,0,0,0,0,20260917,20261212
22,0,0,0,0,0,0,0,20260917,20261212
23,0,0,0,0,0,0,0,20260917,20261212
24,1,1,1,1,1,0,0,20260917,20261212
25,0,0,0,0,1,1,0,20260917,20261212
26,0,0,0,0,1,1,0,20260917,20261212
27,0,0,0,0,1,1,0,20260917,20261212
28,1,1,1,1,1,0,0,20260917,20261212
29,0,1,0,1,0,0,0,20260917,20261212
30,1,0,1,0,1,0,0,20260917,20261212
31,0,0,0,0,0,1,0,20260917,20261212
32,1,1,1,1,1,1,1,20260917,20261212
33,0,0,0,0,0,0,0,20260917,20261212
34,0,0,0,0,0,0,0,20260917,20261212
35,0,0,0,0,0,1,0,20260917,20261212
36,0,0,0,0,0,0,1,20260917,20261212
37,1,1,1,1,1,0,0,20260917,20261212
38,0,0,0,0,0,0,0,20260917,20261212
39,0,0,0,0,0,0,1,20260917,20261212
40,0,0,0,0,0,1,1,20260917,20261212
41,1,1,1,1,1,1,0,20260917,20261212
42,1,1,1,1,1,0,1,20260917,20261212
43,0,0,0,0,0,0,1,20260917,20261212
44,0,0,0,0,0,0,0,20260917,20261212
45,0,0,0,0,0,0,0,20260917,20261212
46,0,0,0,0,0,0,0,20260917,20261212
47,0,0,0,0,0,0,0,20260917,20261212
48,0,0,0,0,0,0,0,20260917,20261212
49,0,0,0,0,0,0,0,20260917,20261212
50,0,0,0,0,0,0,0,20260917,20261212
51,0,0,0,0,0,0,0,20260917,20261212
52,0,0,0,0,0,0,0,20260917,20261212
53,0,0,0,0,0,0,0,20260917,20261212
