"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"4066",6,"NAV","",3,"","",""
"4026",6,"82","",3,"","",""
"3656",6,"CN8","",3,"","",""
"3646",6,"33","",3,"","",""
"3117",6,"CN7","",3,"","",""
"3116",6,"CN6","",3,"","",""
"3115",6,"CN5","",3,"","",""
"3114",6,"CN4","",3,"","",""
"3113",6,"CN3","",3,"","",""
"3112",6,"CN2","",3,"","",""
"3111",6,"CN1","",3,"","",""
"3013",6,"97","",3,"","",""
"3012",6,"95","",3,"","",""
"2990",6,"96","",3,"","",""
"2989",6,"94","",3,"","",""
"2988",6,"93","",3,"","",""
"2987",6,"92","",3,"","",""
"2986",6,"90","",3,"","",""
"2985",6,"88","",3,"","",""
"2984",6,"86","",3,"","",""
"2983",6,"83","",3,"","",""
"2982",6,"81","",3,"","",""
"2981",6,"78","",3,"","",""
"2980",6,"75","",3,"","",""
"2979",6,"74","",3,"","",""
"2978",6,"73","",3,"","",""
"2977",6,"72","",3,"","",""
"2976",6,"71","",3,"","",""
"2601",6,"32","",3,"","",""
"1968",6,"30","",3,"","",""
"1967",6,"29","",3,"","",""
"1947",6,"27","",3,"","",""
"1946",6,"26","",3,"","",""
"1823",6,"76","",3,"","",""
"366",6,"25","",3,"","",""
"279",6,"9","",3,"","",""
"278",6,"8","",3,"","",""
"277",6,"7","",3,"","",""
"276",6,"6","",3,"","",""
"275",6,"5","",3,"","",""
"274",6,"4","",3,"","",""
"273",6,"3","",3,"","",""
"272",6,"24","",3,"","",""
"271",6,"23","",3,"","",""
"270",6,"22","",3,"","",""
"269",6,"21","",3,"","",""
"268",6,"20","",3,"","",""
"267",6,"2","",3,"","",""
"266",6,"19","",3,"","",""
"265",6,"18","",3,"","",""
"264",6,"17","",3,"","",""
"263",6,"16","",3,"","",""
"262",6,"15","",3,"","",""
"261",6,"14","",3,"","",""
"260",6,"13","",3,"","",""
"259",6,"12","",3,"","",""
"258",6,"11","",3,"","",""
"257",6,"10","",3,"","",""
"3841",171,"L34","",3,"","",""
"3835",171,"L71","",3,"","",""
"3834",171,"L33","",3,"935AC0","FFFFFF",""
"3833",171,"L17","",3,"009BD4","",""
"3832",171,"L15","",3,"","",""
"3831",171,"L14","",3,"009BD4","FFFFFF",""
"3801",171,"L16","",3,"","",""
"3791",171,"L52","",3,"","",""
"3790",171,"L32","",3,"","",""
"3789",171,"L31","",3,"","",""
"3788",171,"L13","",3,"","",""
"3787",171,"L12","",3,"","",""
"3786",171,"L11","",3,"","",""
"3772",171,"L61","",3,"","",""
"3771",171,"L18","",3,"","",""
"3731",171,"L62","",3,"","",""
"3582",171,"L95","",3,"D0D0D0","","TGV Lorraine"
"3581",171,"L50","",3,"","",""
"3550",171,"L90","",3,"","",""
"3549",171,"L70","",3,"","",""
"3548",171,"L60","",3,"","",""
"3547",171,"L40","",3,"","","Saarbrucken-Express"
"3546",171,"L30","",3,"","",""
"3537",171,"L10","",3,"","",""
"2466",111,"T1","",0,"","",""
"1731",16,"15","",3,"","",""
"987",16,"7","",3,"","",""
"986",16,"6","",3,"","",""
"985",16,"5","",3,"","",""
"984",16,"4","",3,"","",""
"983",16,"3","",3,"","",""
"982",16,"2","",3,"","",""
"981",16,"1","",3,"","",""
"321",16,"14","",3,"","",""
"320",16,"13","",3,"","",""
"302",11,"TGV","",2,"","",""
"301",11,"TER","",2,"","",""
"300",11,"RE","",2,"","",""
"299",11,"RB","",2,"","",""
"297",11,"IC","",2,"","",""
"4063",1,"L08","",3,"","",""
"4057",1,"U03","",3,"","",""
"4056",1,"P27","",3,"","",""
"4055",1,"N12","",3,"","",""
"4054",1,"N10","",3,"","",""
"4053",1,"K57","",3,"","",""
"4052",1,"K56","",3,"","",""
"4051",1,"G14","",3,"","",""
"4050",1,"E50","",3,"","",""
"4049",1,"E49","",3,"","",""
"4048",1,"E48","",3,"","",""
"4047",1,"E47","",3,"","",""
"4046",1,"E46","",3,"","",""
"4045",1,"E45","",3,"","",""
"4044",1,"E44","",3,"","",""
"4043",1,"D55","",3,"","",""
"4042",1,"D54","",3,"","",""
"4041",1,"D53","",3,"","",""
"4025",1,"T11","",3,"","",""
"4024",1,"Q14","",3,"","",""
"4023",1,"K55","",3,"","",""
"4022",1,"J29","",3,"","",""
"4021",1,"J28","",3,"","",""
"3982",1,"N11","",3,"","",""
"3981",1,"K54","",3,"","",""
"3980",1,"E43","",3,"","",""
"3979",1,"E42","",3,"","",""
"3978",1,"D51","",3,"","",""
"3977",1,"D50","",3,"","",""
"3976",1,"D49","",3,"","",""
"3975",1,"D48","",3,"","",""
"3974",1,"D47","",3,"","",""
"3973",1,"D46","",3,"","",""
"3972",1,"D45","",3,"","",""
"3971",1,"D44","",3,"","",""
"3970",1,"V02","",3,"","",""
"3969",1,"P26","",3,"","",""
"3968",1,"P25","",3,"","",""
"3967",1,"N09","",3,"","",""
"3966",1,"M21","",3,"","",""
"3965",1,"M20","",3,"","",""
"3964",1,"M19","",3,"","",""
"3963",1,"KI4","",3,"","",""
"3962",1,"K53","",3,"","",""
"3961",1,"K52","",3,"","",""
"3960",1,"K51","",3,"","",""
"3959",1,"K50","",3,"","",""
"3958",1,"K49","",3,"","",""
"3957",1,"G13","",3,"","",""
"3956",1,"E41","",3,"","",""
"3955",1,"E40","",3,"","",""
"3954",1,"E39","",3,"","",""
"3953",1,"D52","",3,"","",""
"3952",1,"D43","",3,"","",""
"3951",1,"B29","",3,"","",""
"3950",1,"B28","",3,"","",""
"3947",1,"651","",3,"","",""
"3946",1,"643","",3,"","",""
"3927",1,"T10","",3,"","",""
